# realization for 1guu-1_gph
param xbar :=
 1 1  2666.3399292210906
 1 2  2219.9596433183297
 1 3  -346.75340132393546
 2 1  2667.7101492461566
 2 2  2219.4942146835815
 2 3  -346.39847986659447
 3 1  2668.7796964872605
 3 2  2220.3156115188776
 3 3  -347.09963460857875
 4 1  2668.471591389495
 4 2  2221.576280522516
 4 3  -347.3551622175317
 5 1  2669.4052525269367
 5 2  2222.4244873164193
 5 3  -348.07563141368485
 6 1  2669.2365948999973
 6 2  2222.4124682576194
 6 3  -349.48905198768483
 7 1  2670.350854731541
 7 2  2222.279688347714
 7 3  -350.180823565599
 8 1  2670.3181290296075
 8 2  2222.165906362615
 8 3  -351.64442129728286
 9 1  2669.969234954351
 9 2  2223.5295104446914
 9 3  -352.2406592916913
 10 1  2669.407062205516
 10 2  2223.478961933957
 10 3  -353.483598727797
 11 1  2669.0376203885276
 11 2  2224.7251331748002
 11 3  -354.14217463912786
 12 1  2670.2309168004335
 12 2  2225.354185035849
 12 3  -354.891297791207
 13 1  2670.3239055524978
 13 2  2226.6818620662084
 13 3  -354.775061861473
 14 1  2671.4625297916405
 14 2  2227.357328144408
 14 3  -355.4339146348282
 15 1  2671.038235751775
 15 2  2227.777188842132
 15 3  -356.87609929340897
 16 1  2671.7787140578293
 16 2  2228.6325378670786
 16 3  -357.4590921716759
 17 1  2671.509243400206
 17 2  2229.097836826295
 17 3  -358.8356605802498
 18 1  2671.6909982640796
 18 2  2227.8930272616385
 18 3  -359.78447382144105
 19 1  2672.6427825819223
 19 2  2227.0422168663326
 19 3  -359.52392583871614
 20 1  2672.865910191011
 20 2  2225.867497805855
 20 3  -360.3629334480964
 21 1  2671.654987028665
 21 2  2224.913358552934
 21 3  -360.3175225653494
 22 1  2671.0496547362327
 22 2  2224.808569931986
 22 3  -359.13475097809527
 23 1  2669.8022508407703
 23 2  2224.0954469140584
 23 3  -358.9986163961497
 24 1  2668.682615254597
 24 2  2224.645498440174
 24 3  -359.73202274839576
 25 1  2668.547771633941
 25 2  2225.8414047309234
 25 3  -359.6997236583538
 26 1  2667.4434161920212
 26 2  2226.4297043066886
 26 3  -360.4346573047856
 27 1  2667.633147135165
 27 2  2226.450026722637
 27 3  -361.88010620442924
 28 1  2668.8105650967586
 28 2  2226.5327177640493
 28 3  -362.3849097253737
 29 1  2669.0695422570707
 29 2  2226.3062362642627
 29 3  -363.8148513467207
 30 1  2668.8182091227827
 30 2  2224.7090267930075
 30 3  -364.2336451331491
 31 1  2669.2344054630908
 31 2  2223.789510154814
 31 3  -363.419304042638
 32 1  2668.7520152167967
 32 2  2222.7489196886168
 32 3  -363.81691889772463
 33 1  2666.9071875673985
 33 2  2222.6812864267195
 33 3  -363.29587482487494
 34 1  2666.953559833044
 34 2  2222.640032882978
 34 3  -362.8247721663511
 35 1  2665.3760580569706
 35 2  2222.486374848558
 35 3  -362.5795290224471
 36 1  2664.491404435947
 36 2  2223.6881969490582
 36 3  -363.5126951326818
 37 1  2665.011487812122
 37 2  2224.4329070541653
 37 3  -364.5564724848017
 38 1  2664.208431831025
 38 2  2225.6358119066686
 38 3  -364.3555933628042
 39 1  2664.497365283895
 39 2  2226.4950948706346
 39 3  -363.01622277525655
 40 1  2665.7076533359464
 40 2  2226.8091674964758
 40 3  -363.2592870891889
 41 1  2667.006754526984
 41 2  2227.2495451301165
 41 3  -362.439728699255
 42 1  2667.1342267977343
 42 2  2226.467955502944
 42 3  -360.99869609449115
 43 1  2666.092089019531
 43 2  2226.4324815492237
 43 3  -360.75465330668465
 44 1  2666.1341833510664
 44 2  2225.668793978025
 44 3  -359.3147365203823
 45 1  2666.2666071392264
 45 2  2224.3223413901906
 45 3  -359.30701092251667
 46 1  2665.3655885723892
 46 2  2224.086662820744
 46 3  -359.8877939286442
 47 1  2664.9032844768512
 47 2  2222.5540085312255
 47 3  -360.5434270809303
 48 1  2666.0073175251073
 48 2  2222.0020291054743
 48 3  -361.4416444561074
 49 1  2666.497782208175
 49 2  2222.7300401379107
 49 3  -362.29222978513957
 50 1  2667.5327205469544
 50 2  2222.475259164415
 50 3  -363.16552408748316
 51 1  2668.8299526738947
 51 2  2222.102178750286
 51 3  -362.44870257913203
 52 1  2669.12369526305
 52 2  2222.758181269239
 52 3  -361.4419958149557
 53 1  2670.315383247905
 53 2  2222.474430649426
 53 3  -360.72124756214953
 54 1  2670.1775722501266
 54 2  2221.4261245631037
 54 3  -359.60759632699416
 55 1  2668.9938476466205
 55 2  2221.2810814930754
 55 3  -359.0342670383616
 56 1  2668.711776653085
 56 2  2220.341605939009
 56 3  -358.00752732058817
 57 1  2667.9292643506524
 57 2  2219.1275866885785
 57 3  -358.26812272618696
 58 1  2667.2456035286446
 58 2  2219.167187219225
 58 3  -359.3188760037109
 59 1  2666.39731005661
 59 2  2218.0431691609133
 59 3  -359.71500610092784
 60 1  2665.096545821415
 60 2  2218.130968270481
 60 3  -358.9476997675835
 61 1  2664.210322751466
 61 2  2217.169174513681
 61 3  -359.11829371040585
 62 1  2662.9351047821983
 62 2  2217.1428596948003
 62 3  -358.4532313718205
 63 1  2662.719550229151
 63 2  2216.0897338685677
 63 3  -357.3404983131226
 64 1  2663.703821368571
 64 2  2215.4175695544423
 64 3  -356.9631106762645
 65 1  2663.7106323095372
 65 2  2214.4974980238753
 65 3  -355.8094641866508
 66 1  2663.9863647607845
 66 2  2215.3111379837414
 66 3  -354.6032176530659
 67 1  2663.3296367113403
 67 2  2216.307067874664
 67 3  -354.3945077659314
 68 1  2663.13249875063
